"Violations","name","Best_Seed","ARI","AMI","NMI","Mean_Silhouette","Clusters","number_features","number_instances","Cardinality_BAT","Cardinality_REAL","Execution_Time"
0,"mu284",8349,1,1,1,0.0338240786500247,2,11,284,"142, 142","142, 142",2.09913086891174
0,"fri_c0_500_5",731,0.0447417157550041,0.0325286617612751,0.0339286540801217,0.149490037842971,2,6,500,"249, 251","249, 251",3.3461320400238
0,"transplant",4058,1,1,1,0.574585868717479,2,4,131,"83, 48","83, 48",0.937894105911255
0,"chscase_geyser1",8349,-0.0020232423365123,-0.00306108410290222,0.000328953738715003,0.582638516325145,2,3,222,"88, 134","88, 134",1.23099684715271
0,"chscase_census6",3612,-0.00330387778363197,-0.00111650346226527,0.000737454818325623,0.10085752248236,2,7,400,"235, 165","235, 165",3.11959218978882
0,"chscase_census5",2621,-0.00210690038382157,-0.00148839440956584,0.000326089445277176,0.23784580523465,2,8,400,"207, 193","207, 193",2.58879709243774
0,"chscase_census4",8349,-2.57285478006522e-06,-6.75720992376551e-05,0.00174390252722372,0.11938866180282,2,8,400,"206, 194","206, 194",2.82493305206299
0,"chscase_census3",8349,-8.14065901011056e-07,-0.000114808110754222,0.00169767719275895,0.18145103093055,2,8,400,"208, 192","208, 192",2.60646295547485
0,"chscase_census2",5279,-0.000907461959844833,-0.000643415217422276,0.00116822176616134,0.0571090870025827,2,8,400,"197, 203","197, 203",2.75099992752075
0,"fri_c1_1000_10",8349,0.182172425507087,0.130358950733732,0.130994787678466,0.101122452576806,2,11,1000,"436, 564","436, 564",13.7735450267792
0,"fri_c2_250_5",4539,0.26739000268412,0.229581594447004,0.231842063758112,0.290187477463794,2,6,250,"110, 140","110, 140",1.69648408889771
0,"fri_c2_1000_5",8349,0.152187205011849,0.146217434624696,0.146847193044481,0.226318095531338,2,6,1000,"416, 584","416, 584",10.7093570232391
0,"fri_c2_1000_10",8349,0.188793392200232,0.132513546440966,0.133152146330384,0.125439683977687,2,11,1000,"420, 580","420, 580",13.3927838802338
0,"fri_c3_100_5",8349,0.069072520399954,0.0463120104770264,0.0533743947666592,0.306732131498824,2,6,100,"44, 56","44, 56",0.710362911224365
0,"visualizing_galaxy",2621,-0.000957506178745087,-0.00111351151131876,0.00114427801557801,0.316975078260875,2,5,323,"175, 148","175, 148",1.7997670173645
0,"disclosure_z",294,-0.00143186532029175,-0.000995817467805923,9.94851981178464e-05,0.424282009794796,2,4,662,"348, 314","348, 314",4.02300786972046
0,"fri_c3_500_10",2705,0.00437583668170522,0.00239554550651557,0.00384732397538569,0.15292663970343,2,11,500,"228, 272","228, 272",4.49983692169189
0,"fri_c0_500_10",4539,0.0211458055029895,0.0150735848889441,0.0165001710845517,0.0791926660197211,2,11,500,"241, 259","241, 259",4.04237794876099
0,"prnn_fglass",8349,0.0356108377875129,0.085581277732984,0.0888947406634061,0.310870552658511,2,10,214,"76, 138","76, 138",1.72004699707031
0,"jEdit_4.2_4.3",8349,0.0178979752369991,0.0111085647550435,0.0130656619785572,0.299298971881394,2,9,369,"204, 165","204, 165",2.72720003128052
0,"jEdit_4.0_4.2",4539,0.0199093316209576,0.0145378033954059,0.0171474024675891,0.197948642469348,2,9,274,"134, 140","134, 140",1.66880702972412
0,"datatrieve",7712,0.264925046024371,0.087961766444211,0.102268447298281,0.452013187604337,2,9,130,"119, 11","119, 11",1.32702803611755
0,"banknote-authentication",430,-0.000786425058159335,-0.000522058780860865,9.2829929452512e-06,0.262386263615837,2,5,1372,"762, 610","762, 610",19.0506381988525
0,"blood-transfusion-service-center",967,0.130830341719359,0.0446385862968134,0.0458077441573811,0.526156199903308,2,5,748,"570, 178","570, 178",18.312970161438
0,"breast-tissue",8069,0.113236387672478,0.136824226952316,0.201480480909537,0.0740654780916992,6,10,106,"22, 21, 14, 15, 16, 18","22, 21, 14, 15, 16, 18",0.982284069061279
0,"fertility",2973,0.0369799691833588,-0.0127904602318701,0.00352290962992856,0.117222148048827,2,10,100,"88, 12","88, 12",1.09230995178223
0,"planning-relax",9882,-0.00261638269052552,-0.00466752493714175,1.23489159328918e-05,0.106726147212068,2,13,182,"130, 52","130, 52",1.49341583251953
0,"seeds",8349,0.70081041112097,0.670867666679174,0.673758046844715,0.404330782093114,3,8,210,"70, 70, 70","70, 70, 70",1.34252309799194
0,"user-knowledge",7943,0.211749700105604,0.301263079941608,0.311638991213562,0.0921556298253351,5,6,403,"102, 129, 122, 24, 26","102, 129, 122, 24, 26",3.90866589546204
0,"heart-long-beach",2705,0.0019358889675291,-0.00301972075337328,0.0255760105394035,0.198619573572251,5,14,200,"51, 56, 41, 42, 10","51, 56, 41, 42, 10",2.16348791122437
0,"heart-switzerland",7712,0.00258997976603119,-0.000851937074881139,0.0511052120675934,0.101473451567068,5,13,123,"8, 48, 32, 30, 5","8, 48, 32, 30, 5",1.42697191238403
0,"vertebra-column",8349,0.29859273540095,0.35816758308513,0.362220623537958,0.220090401326227,3,7,310,"60, 100, 150","60, 100, 150",2.64769005775452
0,"volcanoes-a1",294,-0.0820395731398602,0.0113460826469156,0.0177797023626003,-0.333703857641084,5,4,3252,"2952, 68, 58, 86, 88","2952, 68, 58, 86, 88",122.963754892349
0,"volcanoes-a2",731,-0.0933449044927313,0.00948376802935753,0.0220635258653775,-0.316745084823854,5,4,1623,"1471, 35, 29, 44, 44","1471, 35, 29, 44, 44",35.0565271377563
