"name","ARI","AMI","NMI","Mean_Silhouette","Clusters","number_features","number_instances","cardinality_pred","cardinality_real","Violations","Execution_Time"
"quake",0.00214522116962131,0.000870569252099462,0.00120464654428719,0.13768303249834,2,4,2178,"1209, 969","1209, 969",0,0.00336503982543945
"disclosure_x_bias",-0.00143066685297653,-0.00100927708266053,8.53753445951823e-05,0.155929921981954,2,4,662,"345, 317","345, 317",0,0.00121712684631348
"bodyfat",0.0212979544109638,0.0154880688961021,0.0183236400079012,0.121398868999789,2,15,252,"124, 128","124, 128",0,0.000560998916625977
"rabe_266",-0.00731776845137166,-0.0054417189930047,0.000690509385585162,-0.0150385175048723,2,3,120,"57, 63","57, 63",0,0.000340938568115234
"fri_c1_100_10",-0.00367830901289378,-0.00226102971003151,0.0050994346524827,0.0277264172393547,2,11,100,"47, 53","47, 53",0,0.000430822372436523
"fri_c2_500_5",0.00935617318648961,0.00301587749196722,0.00449870181146527,0.0184542693176328,2,6,500,"202, 298","202, 298",0,0.0010828971862793
"fri_c3_250_10",-0.00395763656633227,-0.00292325926420882,1.8791753400277e-06,0.0319958813305083,2,11,250,"115, 135","115, 135",0,0.000735998153686523
"disclosure_x_tampered",-0.00150558857038888,-0.00108618674115797,7.23877574081192e-06,0.119135934853492,2,4,662,"327, 335","327, 335",0,0.00110507011413574
"fri_c0_1000_5",0.000599670001604146,0.000430359354322675,0.00115249715241675,0.0149273944501533,2,6,1000,"503, 497","503, 497",0,0.00160503387451172
"chscase_funds",0.0051668711133926,0.00431621558654985,0.00824066852395396,0.169296445378008,2,3,185,"87, 98","87, 98",0,0.000460147857666016
"fri_c3_1000_5",0.00148429619998945,0.000252006344278116,0.000982696245632004,0.0321285580800954,2,6,1000,"437, 563","437, 563",0,0.00158405303955078
"chscase_vine2",-0.00101516450135109,-0.000187355869631809,0.00136929353120445,0.0117269083667115,2,3,468,"256, 212","256, 212",0,0.000882863998413086
"chatfield_4",0.202690968537482,0.137394126303031,0.140148173299445,0.3678140484164,2,13,235,"142, 93","142, 93",0,0.000535011291503906
"fri_c1_500_10",-0.00199226347932964,-0.00123934249713398,0.000219315583434551,0.0513190291221352,2,11,500,"226, 274","226, 274",0,0.00090789794921875
"disclosure_x_noise",-0.00128651295831339,-0.000927745163469352,0.000165419008760705,0.153404161148561,2,4,662,"329, 333","329, 333",0,0.00110793113708496
"fri_c2_250_10",-0.00376702213198323,-0.00307888352598714,3.50123135222536e-06,0.00745194731549648,2,11,250,"91, 159","91, 159",0,0.000540971755981445
"stock",0.000902797183538346,0.000605248132778387,0.0013657096901407,0.269889755754655,2,10,950,"488, 462","488, 462",0,0.00158596038818359
"fri_c0_1000_10",0.00900855524262359,0.00656143717921561,0.00727929776101918,0.0679641417892246,2,11,1000,"491, 509","491, 509",0,0.00174117088317871
"fri_c4_500_10",0.0143359106565673,0.00876561428070427,0.0102113997745326,0.0590489382588164,2,11,500,"224, 276","224, 276",0,0.000919103622436523
"vinnie",-0.00164244731936403,-0.00121957287476928,0.000689534126275341,-0.00763822003577545,2,3,380,"185, 195","185, 195",0,0.00118207931518555
"fri_c4_250_10",0.00684336426737923,0.0043902683403717,0.0072891171796007,0.0372104254486093,2,11,250,"117, 133","117, 133",0,0.000603914260864258
"fri_c2_500_10",0.028691734354804,0.0169724413154713,0.0184168521386802,0.0886635070753702,2,11,500,"214, 286","214, 286",0,0.000905036926269531
"fri_c1_500_5",0.0105582902496358,0.0069919545566796,0.00843374267240457,0.0259722516398526,2,6,500,"233, 267","233, 267",0,0.000885963439941406
"pollen",-0.000190836424826358,-0.000137679713761759,4.98860800157163e-05,0.0218875788809959,2,6,3848,"1924, 1924","1924, 1924",0,0.00580000877380371
"mu284",0.0609547807271157,0.0444330256711706,0.0468730174520704,0.228135676353852,2,11,284,"142, 142","142, 142",0,0.000566005706787109
"fri_c0_500_5",0.010561219950588,0.00762935306339989,0.00906537625938343,0.0707059524750572,2,6,500,"249, 251","249, 251",0,0.00136113166809082
"transplant",0.0249840124124836,0.0586480729506981,0.064194509721214,0.305776448849115,2,4,131,"83, 48","83, 48",0,0.000356912612915039
"chscase_geyser1",0.0175730401081392,0.0286939677984326,0.0319766833350435,-0.0140855686716708,2,3,222,"88, 134","88, 134",0,0.000550031661987305
